SYMBOL,NAME OF COMPANY, ISIN NUMBER,Exchange
20MICRONS,20 Microns Limited,INE144J01027,NSE
21STCENMGM,21st Century Management Services Limited,INE253B01015,NSE
360ONE,360 ONE WAM LIMITED,INE466L01038,NSE
3IINFOLimited,3i Infotech Limited,INE748C01038,NSE
3MINDIA,3M India Limited,INE470A01017,NSE
3PLAND,3P Land Holdings Limited,INE105C01023,NSE
5PAISA,5Paisa Capital Limited,INE618L01018,NSE
63MOONS,63 moons technologies limited,INE111B01023,NSE
A2ZINFRA,A2Z Infra Engineering Limited,INE619I01012,NSE
AAATECH,AAA Technologies Limited,INE0D0U01013,NSE
AADHARHFC,Aadhar Housing Finance Limited,INE883F01010,NSE
AAKASH,Aakash Exploration Services Limited,INE087Z01024,NSE
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,INE198H01019,NSE
AARON,Aaron Industries Limited,INE721Z01010,NSE
AARTECH,Aartech Solonics Limited,INE01C001026,NSE
AARTIDRUGS,Aarti Drugs Limited,INE767A01016,NSE
AARTIIND,Aarti Industries Limited,INE769A01020,NSE
AARTIPHARM,Aarti Pharmalabs Limited,INE0LRU01027,NSE
AARTISURF,Aarti Surfactants Limited,INE09EO01013,NSE
AARVI,Aarvi Encon Limited,INE754X01016,NSE
AAVAS,Aavas Financiers Limited,INE216P01012,NSE
ABAN,Aban Offshore Limited,INE421A01028,NSE
ABB,ABB India Limited,INE117A01022,NSE
ABBOTINDIA,Abbott India Limited,INE358A01014,NSE
ABCAPITAL,Aditya Birla Capital Limited,INE674K01013,NSE
ABCOTS,A B Cotspin India Limited,INE08PH01015,NSE
ABDL,Allied Blenders and Distillers Limited,INE552Z01027,NSE
ABFRL,Aditya Birla Fashion and Retail Limited,INE647O01011,NSE
ABINFRA,A B Infrabuild Limited,INE00YB01025,NSE
ABLBL,Aditya Birla Lifestyle Brands Limited,INE14LE01019,NSE
ABMINTLLimited,ABM International Limited,INE251C01025,NSE
ABREL,Aditya Birla Real Estate Limited,INE055A01016,NSE
ABSLAMC,Aditya Birla Sun Life AMC Limited,INE404A01024,NSE
ACC,ACC Limited,INE012A01025,NSE
ACCELYA,Accelya Solutions India Limited,INE793A01012,NSE
ACCURACY,Accuracy Shipping Limited,INE648Z01023,NSE
ACE,Action Construction Equipment Limited,INE731H01025,NSE
ACEINTEG,Ace Integrated Solutions Limited,INE543V01017,NSE
ACI,Archean Chemical Industries Limited,INE128X01021,NSE
ACL,Andhra Cements Limited,INE666E01020,NSE
ACMESOLAR,Acme Solar Holdings Limited,INE622W01025,NSE
ACUTAAS,Acutaas Chemicals Limited,INE00FF01025,NSE
ADANIENSOL,Adani Energy Solutions Limited,INE931S01010,NSE
ADANIENT,Adani Enterprises Limited,INE423A01024,NSE
ADANIGREEN,Adani Green Energy Limited,INE364U01010,NSE
ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,NSE
ADANIPOWER,Adani Power Limited,INE814H01029,NSE
ADFFOODS,ADF Foods Limited,INE982B01027,NSE
ADL,Archidply Decor Limited,INE0CHO01012,NSE
ADOR,Ador Welding Limited,INE045A01017,NSE
ADROITINFO,Adroit Infotech Limited,INE737B01033,NSE
ADSL,Allied Digital Services Limited,INE102I01027,NSE
ADVANCE,Advance Agrolife Limited,INE1B0W01010,NSE
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,INE199C01026,NSE
ADVENTHTL,Advent Hotels International Limited,INE28GN01010,NSE
